YearID	gridcode	Shape_Leng	Shape_Area	year
2001_324	1	31647.49	16499039.55	2001
2001_325	1	9652.98	2507357.47	2001
2001_326	1	22970.67	8838221.87	2001
2001_327	1	73805.98	59312863.09	2001
2001_328	1	42636.87	26597794.2	2001
2001_329	1	12357.41	3860030.33	2001
2001_330	1	22673.13	7984011.2	2001
2001_331	1	16216.71	5478346.32	2001
2001_332	1	17205.73	6608597.25	2001
2001_333	1	23507.94	9521405.61	2001
2001_334	1	8518.04	2484524.75	2001
2001_335	1	17014.26	4782773.95	2001
2001_336	1	16168.08	9075680.27	2001
2001_337	1	45686.05	30979933.59	2001
2001_338	1	26783.18	10953574.82	2001
2001_339	1	7612.69	2258290.92	2001
2001_340	1	39779.04	21654724.37	2001
2001_341	1	7550.06	2959740.74	2001
2001_342	1	22699.38	6804161.55	2001
2001_343	1	24783.65	11330172.33	2001
2001_344	1	10376.61	3647620.59	2001
2001_345	1	15303.39	8213858.6	2001
2001_346	1	10463.06	2959693.06	2001
2001_347	1	35996.01	25002263.04	2001
2001_348	1	42765.09	30381779.11	2001
2001_349	1	18107.91	5464885.94	2001
2001_350	1	27621.91	16118750.38	2001
2001_351	1	32216.19	18682371.72	2001
2001_352	1	10454.44	4091410.73	2001
2001_353	1	149970.81	87823430.09	2001
2001_354	1	32221.97	11330624.27	2001
2001_355	1	10516.12	3614270.13	2001
2001_356	1	9342.33	2491813.28	2001
2001_357	1	14199.88	6838635.31	2001
2001_358	1	87515.21	93879999.81	2001
2001_359	1	10562.21	4330203.94	2001
2001_360	1	11360.45	4317425.94	2001
2001_361	1	7628.67	2267775.86	2001
2001_362	1	12445.26	5897788.22	2001
2001_363	1	13228.59	6098005.17	2001
2001_364	1	17822.12	8193639.81	2001
2001_365	1	52999.57	26508857.79	2001
2001_366	1	28694.18	12465986.17	2001
2001_367	1	20254.43	4532411.64	2001
2001_368	1	26268.53	13777156.31	2001
2001_369	1	17202.1	6377665.56	2001
2001_370	1	7635.99	2499305.82	2001
2001_371	1	19836.78	7746389.11	2001
2001_372	1	9446.21	3632077.62	2001
2001_373	1	15221.1	6398029.46	2001
2001_374	1	19072.68	11339546.03	2001
2001_375	1	48464.81	30235639.93	2001
2001_376	1	129378.8	100326178.5	2001
2001_377	1	11319.24	3158809.68	2001
2001_378	1	13350.77	3401883.72	2001
2001_379	1	10526.87	3168732.08	2001
2001_380	1	36852.42	17001865.22	2001
2001_381	1	15129.85	4515990.27	2001
2001_382	1	19779.46	9062654.62	2001
2001_383	1	83135.95	54115720.46	2001
2001_384	1	13307.35	5632716.97	2001
2001_385	1	18060.08	7474590.14	2001
2001_386	1	684752.94	873996473.5	2001
2001_387	1	18861.17	9051174.55	2001
2001_388	1	9436.15	2945056.32	2001
2001_389	1	18138.61	8139144.55	2001
2001_390	1	12423.7	4746379.71	2001
2001_391	1	84929.21	54896746.94	2001
2001_392	1	780930.71	723231583.3	2001
2001_393	1	7515.53	2708401.69	2001
2001_394	1	9540.42	3177794.66	2001
2001_395	1	23602.02	8164014.46	2001
2001_396	1	15276.19	5228549.28	2001
2001_397	1	7647.37	2506700.33	2001
2001_398	1	11341.86	3624495.99	2001
2001_399	1	26557.44	14687078.1	2001
2001_400	1	8533.29	2720306.11	2001
2001_401	1	15040.96	6553852.07	2001
2001_402	1	22847.01	8135384.61	2001
2001_403	1	7649.36	2280012.85	2001
2001_404	1	33345.4	20539557.41	2001
2001_405	1	6612.57	2483328.42	2001
2001_406	1	21726.04	8642052.18	2001
2001_407	1	47441.97	25676240.79	2001
2001_408	1	60067.99	32574865.66	2001
2001_409	1	19871.72	6569037.49	2001
