src_YearID	nbr_YearID
2001_740	2001_1483
2001_741	2001_1483
2001_741	2001_1820
2001_742	2001_1483
2001_743	2001_1431
2001_744	2001_1483
2001_745	2001_1483
2001_746	2001_1483
2001_747	2001_1483
2001_748	2001_1403
2001_749	2001_1431
2001_749	2001_2106
2001_750	2001_1483
2001_751	2001_1401
2001_751	2001_1403
2001_751	2001_1483
2001_752	2001_1483
2001_753	2001_1401
2001_753	2001_1403
2001_753	2001_1483
2001_754	2001_1483
2001_755	2001_1483
2001_756	2001_1483
2001_757	2001_1483
2001_758	2001_1483
2001_759	2001_1483
2001_760	2001_1431
2001_761	2001_1399
2001_761	2001_1483
2001_762	2001_1431
2001_763	2001_1483
2001_764	2001_1483
2001_765	2001_1483
2001_766	2001_1483
2001_767	2001_1431
2001_768	2001_1483
2001_769	2001_1483
2001_770	2001_1483
2001_771	2001_1483
2001_772	2001_1483
2001_773	2001_1483
2001_774	2001_1483
2001_775	2001_1483
2001_776	2001_1483
2001_777	2001_1483
2001_778	2001_1483
2001_779	2001_1483
2001_780	2001_1483
2001_781	2001_1431
2001_782	2001_1483
2001_783	2001_1483
2001_784	2001_1483
2001_785	2001_1483
2001_786	2001_1483
2001_787	2001_1483
2001_788	2001_1483
2001_789	2001_1483
2001_790	2001_1483
2001_791	2001_1483
2001_792	2001_1483
2001_793	2001_1483
2001_794	2001_1483
2001_795	2001_1483
2001_796	2001_1483
2001_797	2001_1483
2001_798	2001_1483
2001_799	2001_1418
2001_799	2001_1431
2001_800	2001_1483
2001_801	2001_1483
2001_802	2001_1431
2001_803	2001_1483
2001_804	2001_1431
2001_805	2001_1431
2001_806	2001_1483
2001_807	2001_1431
2001_808	2001_1322
2001_808	2001_1324
2001_808	2001_1325
2001_808	2001_1328
2001_808	2001_1329
2001_808	2001_1335
2001_808	2001_1336
2001_808	2001_1338
2001_808	2001_1339
2001_808	2001_1340
2001_808	2001_1341
2001_808	2001_1342
2001_808	2001_1343
2001_808	2001_1345
2001_808	2001_1346
2001_808	2001_1347
2001_808	2001_1348
2001_808	2001_1349
2001_808	2001_1350
2001_808	2001_1351
2001_808	2001_1352
2001_808	2001_1353
2001_808	2001_1354
2001_808	2001_1355
2001_808	2001_1357
2001_808	2001_1359
2001_808	2001_1361
2001_808	2001_1362
2001_808	2001_1363
2001_808	2001_1364
2001_808	2001_1365
2001_808	2001_1366
2001_808	2001_1367
2001_808	2001_1368
2001_808	2001_1369
2001_808	2001_1371
2001_808	2001_1372
2001_808	2001_1373
2001_808	2001_1374
2001_808	2001_1375
2001_808	2001_1376
2001_808	2001_1377
2001_808	2001_1379
2001_808	2001_1380
2001_808	2001_1381
2001_808	2001_1382
2001_808	2001_1383
2001_808	2001_1384
2001_808	2001_1385
2001_808	2001_1386
2001_808	2001_1388
2001_808	2001_1389
2001_808	2001_1391
2001_808	2001_1393
2001_808	2001_1394
2001_808	2001_1395
2001_808	2001_1396
2001_808	2001_1397
2001_808	2001_1398
2001_808	2001_1400
2001_808	2001_1402
2001_808	2001_1403
2001_808	2001_1405
2001_808	2001_1406
2001_808	2001_1407
2001_808	2001_1409
2001_808	2001_1410
2001_808	2001_1411
2001_808	2001_1412
2001_808	2001_1413
2001_808	2001_1418
2001_808	2001_1431
2001_808	2001_1483
2001_808	2001_1745
2001_808	2001_2051
2001_808	2001_2086
2001_809	2001_1483
2001_810	2001_1483
2001_811	2001_1483
2001_812	2001_1483
2001_813	2001_1483
2001_814	2001_1483
2001_815	2001_1483
2001_816	2001_1483
2001_817	2001_1483
2001_818	2001_1483
2001_819	2001_1483
2001_820	2001_1483
2001_821	2001_1483
2001_822	2001_1431
2001_823	2001_1483
2001_824	2001_1483
2001_825	2001_1431
2001_826	2001_1483
2001_827	2001_1431
2001_828	2001_1483
2001_829	2001_1483
2001_830	2001_1483
2001_831	2001_1431
2001_832	2001_1416
2001_832	2001_1419
2001_832	2001_1483
